Station,Lon,Lat,VSE,VSN,_ VSE,_ VSN,VSS,_ VSS,_Tn,T1,T2
(site),_E,_N,mm/year,mm/year,mm/year,mm/year,mm/year,mm/year,_cw from N,Year,Year
ACAP,-99.857,16.822,11.64,7.99,0.02,0.05,8.1,0.04,-20.51,1999.92,2013.08
ACYA,-99.903,16.838,10.72,11.58,0.03,0.06,5.96,0.04,-20.59,2004.12,2014.28
ANIG,-104.521,21.054,0.94,1.67,0.03,0.02,-0.79,0.03,-53.97,2006.84,2014.93
ARIG,-100.344,18.281,7.86,12.63,0.05,0.06,2.43,0.05,-22.49,2009.88,2014.21
AYUT,-99.145,16.988,0.37,12.54,0.13,0.12,-3.91,0.13,-19.45,2010.34,2013.68
CALC,-102.762,18.079,7.19,11.2,0.08,0.11,1.4,0.09,-26.66,2007.94,2013.65
CAYA,-100.267,17.049,6.98,3.91,0.02,0.04,5.08,0.03,-21.35,1997.09,2014.28
CHAM,-105.045,19.498,5.11,10.07,0.03,0.03,-3.75,0.03,-46.26,2006.83,2014.72
COL2,-103.702,19.244,5.5,6.14,0.02,0.02,0.61,0.02,-37.66,2006.87,2014.97
COMI,-92.137,16.282,3.04,3.53,0.01,0.02,0.87,0.02,-30.01,2002.12,2014.91
COYB,-100.081,17.008,7.11,4.17,0.09,0.2,5.14,0.16,-21.01,2008.18,2012.62
COYU,-100.081,17.008,7.67,5.78,0.03,0.1,5.09,0.07,-21.01,2003.29,2014.23
CPDP,-99.628,16.776,11.92,11.71,0.03,0.05,7.17,0.04,-20.1,2003.42,2014.25
CZIG,-99.131,16.736,10.53,11.78,1.05,0.92,6.06,0.99,-19.25,2009.87,2010.3
DEMA,-99.035,20.3,1.41,1.76,0.01,0.01,0.65,0.01,-22.02,2003.87,2014.95
DOAP,-99.651,17.021,8.84,9.35,0.06,0.11,5.04,0.09,-20.32,2004.41,2011.92
DOAR,-99.651,17.021,8.56,9.78,0.03,0.06,4.64,0.05,-20.32,2003.23,2013.43
HUAT,-96.108,15.769,12.23,16.03,0.01,0.01,10.53,0.01,-5.88,2000.57,2014.32
IGCU,-99.176,19.327,3.36,3.13,0.11,0.08,1.99,0.09,-21.38,2011.4,2014.31
IGUA,-99.502,18.392,3.52,4.11,0.02,0.03,1.8,0.03,-21.15,2000.43,2014.28
INEG,-102.284,21.856,1.3,2.33,0.01,0.02,-0.79,0.01,-46.45,2006.83,2014.94
LAZA,-99.487,17.519,6.11,9.6,0.04,0.04,2.38,0.04,-20.42,2006.71,2014.26
LZCR,-102.178,17.939,7.76,15.83,0.12,0.11,1.17,0.12,-22.32,2008.94,2011.37
MARO,-94.884,17.091,3.58,3.41,0.01,0.02,2.22,0.02,-19.74,2005.03,2014.97
MEZC,-99.62,17.925,5.09,6.14,0.04,0.07,2.55,0.06,-20.97,2005.04,2014.28
MRQL,-98.817,16.594,13.97,17.58,0.17,0.14,7.63,0.15,-18.62,2010.23,2012.19
OAX2,-96.717,17.078,4.96,7.89,0.04,0.05,2.7,0.04,-15.29,2006.85,2012.2
OAXA,-96.733,17.073,5.82,8.53,0.02,0.02,3.36,0.02,-15.32,2001.2,2012.18
OMTP,-98.419,16.7,14.01,16.59,0.2,0.18,8.19,0.19,-18.02,2009.83,2012.18
OXAC,-98.041,18.13,3.08,6.52,0.08,0.09,0.86,0.09,-18.37,2009.23,2012.19
OXEC,-96.055,16.52,5.93,9.02,0.04,0.04,5.05,0.04,-5.48,2009.01,2013.85
OXES,-96.746,15.727,15.03,26.74,0.37,0.29,7.82,0.35,-14.58,2009.12,2010.86
OXGU,-96.91,16.63,3.06,8.02,0.08,0.08,0.83,0.08,-15.37,2009,2013.85
OXLP,-97.051,16.142,11.49,16.19,0.09,0.12,6.8,0.1,-15.33,2009.13,2013.99
OXMA,-98.611,16.709,15.65,18.74,0.13,0.13,8.96,0.13,-18.35,2009.16,2011.75
OXNC,-97.218,17.4,4.34,7.6,0.08,0.13,2.02,0.09,-16.39,2009.11,2012.18
OXPE,-97.075,15.889,19.11,23.17,0.03,0.05,12.36,0.04,-15.23,2008.02,2014.25
OXTH,-95.239,16.281,4.27,4.77,0.18,0.15,2.5,0.16,-18.87,2009,2010.62
OXTU,-97.654,16.151,8.61,11.03,0.1,0.14,5.52,0.11,-16.37,2009.01,2013.86
OXUM,-96.499,15.662,15.9,17.02,0.06,0.08,16.45,0.07,1.9,2009.14,2013.99
PAPA,-101.047,17.273,11.98,13.53,0.08,0.06,5.81,0.07,-22.78,2010.14,2014
PEIG,-97.148,15.998,14.51,13.61,0.14,0.18,10.37,0.16,-15.42,2012.87,2015
PENA,-104.101,19.391,4.02,7.01,0.02,0.02,-1.54,0.02,-40.78,2007.12,2019.93
PINO,-98.127,16.393,9.94,10.1,0.02,0.03,6.48,0.03,-17.33,2000.53,2012.18
POPO,-98.628,19.067,-0.72,7.91,0.56,0.55,-0.72,0.56,-20.17,2013.51,2014.29
POSW,-98.657,19.01,2.07,1.79,0.05,0.05,1.32,0.05,-20.17,1997.01,2003.44
SABY,-91.187,18.967,1.43,1.63,0.02,0.02,0.31,0.02,-33.28,2004.54,2014.1
SLCR,-95.197,16.168,4.34,5.24,0.13,0.09,2.28,0.11,-20.13,2009,2012.91
SLUI,-98.741,16.811,13.55,14.41,0.21,0.12,8.39,0.18,-18.13,2009.84,2011.92
TAMP,-97.864,22.278,0.88,1.25,0.02,0.01,0.36,0.02,-21.7,2006.83,2014.27
TCPN,-100.631,17.234,9.53,10.01,0.1,0.16,5.07,0.13,-22.08,2009.32,2014.28
TECO,-103.861,18.985,6.94,8.47,0.01,0.01,0.39,0.01,-37.29,2007.17,2019.95
TNCC,-103.173,18.791,4.98,9.02,0.04,0.03,-0.59,0.04,-32.15,2015.82,2019.98
TNCN,-101.971,18.554,5.31,8.52,0.32,0.06,1.58,0.27,-22.87,2016.18,2019.95
TNIF,-101.896,18.272,5.91,10.46,0.04,0.03,1.68,0.04,-21.4,2015.8,2019.99
TNMO,-101.228,19.649,2.43,0.83,0.02,0.02,1.98,0.02,-25.26,2008.48,2019.96
TNMR,-103.346,18.289,7.06,11.51,0.05,0.05,0.1,0.05,-31.09,2014.71,2018.72
TNMZ,-104.402,19.124,7.94,10.56,0.07,0.07,-0.94,0.07,-41,2015.49,2018.24
TOL2,-99.644,19.293,3.2,4.14,0.02,0.02,1.4,0.02,-22.18,2006.86,2014.23
UCOE,-101.694,19.813,2.57,1.88,0.01,0.01,1.5,0.01,-26.21,2005.81,2019.94
UNIP,-99.181,19.313,1.9,3.57,0.02,0.02,0.47,0.02,-21.38,2005.95,2013.77
YAIG,-99.067,18.862,2.18,3.35,0.02,0.02,0.85,0.02,-20.78,1999.82,2014.19
ZIHP,-101.465,17.607,9.86,13.26,0.03,0.04,3.69,0.03,-23.73,2000.53,2014.22